"","bat_flight","FA","num_buzz","dur_FA","rate"
"290","bat",NA,NA,NA,NA
"291","bat",NA,NA,NA,NA
"292","bat",NA,NA,NA,NA
"293","bat",NA,NA,NA,NA
"294","bat",NA,NA,NA,NA
"295","bat",NA,NA,NA,NA
"296","bat",NA,NA,NA,NA
"297","bat",NA,NA,NA,NA
"298","bat",NA,NA,NA,NA
"299","bat",NA,NA,NA,NA
"300","bat",NA,NA,NA,NA
"301","bat",NA,NA,NA,NA
"302","bat",NA,NA,NA,NA
"303","bat",NA,NA,NA,NA
"304","bat",NA,NA,NA,NA
"305","bat",NA,NA,NA,NA
"306","bat",NA,NA,NA,NA
"307","bat",NA,NA,NA,NA
"308","bat",NA,NA,NA,NA
"309","bat",NA,NA,NA,NA
"310","bat",NA,NA,NA,NA
"311","bat",NA,NA,NA,NA
"312","bat",NA,NA,NA,NA
"313","bat",NA,NA,NA,NA
"314","bat",NA,NA,NA,NA
"315","bat",NA,NA,NA,NA
"316","bat",NA,NA,NA,NA
"317","bat",NA,NA,NA,NA
"318","bat",NA,NA,NA,NA
"319","bat",NA,NA,NA,NA
"320","bat",NA,NA,NA,NA
"321","bat",NA,NA,NA,NA
"322","bat",NA,NA,NA,NA
"323","bat",NA,NA,NA,NA
"324","bat",NA,NA,NA,NA
"325","bat",NA,NA,NA,NA
"326","bat",NA,NA,NA,NA
"327","bat",NA,NA,NA,NA
"328","bat",NA,NA,NA,NA
"329","bat",NA,NA,NA,NA
"330","bat",NA,NA,NA,NA
"331","bat",NA,NA,NA,NA
"332","bat",NA,NA,NA,NA
"333","bat",NA,NA,NA,NA
"334","bat",NA,NA,NA,NA
"335","bat",NA,NA,NA,NA
"336","bat",NA,NA,NA,NA
"337","bat",NA,NA,NA,NA
"338","bat",NA,NA,NA,NA
"339","bat",NA,NA,NA,NA
"340","bat",NA,NA,NA,NA
"341","bat",NA,NA,NA,NA
"342","bat",NA,NA,NA,NA
"343","bat",NA,NA,NA,NA
"344","bat",NA,NA,NA,NA
"345","bat",NA,NA,NA,NA
"346","bat",NA,NA,NA,NA
"347","bat",NA,NA,NA,NA
"348","bat",NA,NA,NA,NA
"349","bat",NA,NA,NA,NA
"350","bat",NA,NA,NA,NA
"351","bat",NA,NA,NA,NA
"352","bat",NA,NA,NA,NA
"353","bat",NA,NA,NA,NA
"354","bat",NA,NA,NA,NA
"355","bat",NA,NA,NA,NA
"356","bat",NA,NA,NA,NA
"357","bat",NA,NA,NA,NA
"358","bat",NA,NA,NA,NA
"359","bat",NA,NA,NA,NA
"360","bat",NA,NA,NA,NA
"361","bat",NA,NA,NA,NA
"362","bat",NA,NA,NA,NA
"363","bat",NA,NA,NA,NA
"364","bat",NA,NA,NA,NA
"365","bat",NA,NA,NA,NA
"366","bat",NA,NA,NA,NA
"367","bat",NA,NA,NA,NA
"368","bat",NA,NA,NA,NA
"369","bat",NA,NA,NA,NA
"370","bat",NA,NA,NA,NA
"371","bat",NA,NA,NA,NA
"372","bat",NA,NA,NA,NA
"373","bat",NA,NA,NA,NA
"374","bat",NA,NA,NA,NA
"375","bat",NA,NA,NA,NA
"376","bat",NA,NA,NA,NA
"377","bat",NA,NA,NA,NA
"378","bat",NA,NA,NA,NA
"379","bat",NA,NA,NA,NA
"380","bat",NA,NA,NA,NA
"381","bat",NA,NA,NA,NA
"382","bat",NA,NA,NA,NA
"383","bat",NA,NA,NA,NA
"384","bat",NA,NA,NA,NA
"385","bat",NA,NA,NA,NA
"386","bat",NA,NA,NA,NA
"387","bat",NA,NA,NA,NA
"388","bat",NA,NA,NA,NA
"389","bat",NA,NA,NA,NA
"390","bat",NA,NA,NA,NA
"391","bat",NA,NA,NA,NA
"392","bat",NA,NA,NA,NA
"393","bat",NA,NA,NA,NA
"394","bat",NA,NA,NA,NA
"395","bat",NA,NA,NA,NA
"396","bat",NA,NA,NA,NA
"397","bat",NA,NA,NA,NA
"398","bat",NA,NA,NA,NA
"399","bat",NA,NA,NA,NA
"400","bat",NA,NA,NA,NA
"401","bat",NA,NA,NA,NA
"402","bat",NA,NA,NA,NA
"403","bat",NA,NA,NA,NA
"404","bat",NA,NA,NA,NA
"405","bat",NA,NA,NA,NA
"406","bat",NA,NA,NA,NA
"407","bat",NA,NA,NA,NA
"408","bat",NA,NA,NA,NA
"409","bat",NA,NA,NA,NA
"410","bat",NA,NA,NA,NA
"411","bat",NA,NA,NA,NA
"412","bat",NA,NA,NA,NA
"413","bat",NA,NA,NA,NA
"414","bat",NA,NA,NA,NA
"415","bat",NA,NA,NA,NA
"416","bat",NA,NA,NA,NA
"417","bat",NA,NA,NA,NA
"418","bat",NA,NA,NA,NA
"419","bat",NA,NA,NA,NA
"420","bat",NA,NA,NA,NA
"421","bat",NA,NA,NA,NA
"422","bat",NA,NA,NA,NA
"423","bat",NA,NA,NA,NA
"424","bat",NA,NA,NA,NA
"425","bat",NA,NA,NA,NA
"426","bat",NA,NA,NA,NA
"427","bat",NA,NA,NA,NA
"428","bat",NA,NA,NA,NA
"429","bat",NA,NA,NA,NA
"430","bat",NA,NA,NA,NA
"431","bat",NA,NA,NA,NA
"432","bat",NA,NA,NA,NA
"433","bat",NA,NA,NA,NA
"434","bat",NA,NA,NA,NA
"435","bat",NA,NA,NA,NA
"436","bat",NA,NA,NA,NA
"437","bat",NA,NA,NA,NA
"438","bat",NA,NA,NA,NA
"439","bat",NA,NA,NA,NA
"440","bat",NA,NA,NA,NA
"441","bat",NA,NA,NA,NA
"442","bat",NA,NA,NA,NA
"443","bat",NA,NA,NA,NA
"444","bat",NA,NA,NA,NA
"445","bat",NA,NA,NA,NA
"446","bat",NA,NA,NA,NA
"447","bat",NA,NA,NA,NA
"448","bat",NA,NA,NA,NA
"449","bat",NA,NA,NA,NA
"450","bat",NA,NA,NA,NA
"451","bat",NA,NA,NA,NA
"452","bat",NA,NA,NA,NA
"453","bat",NA,NA,NA,NA
"454","bat",NA,NA,NA,NA
"455","bat",NA,NA,NA,NA
"456","bat",NA,NA,NA,NA
"457","bat",NA,NA,NA,NA
"458","bat",NA,NA,NA,NA
"459","bat",NA,NA,NA,NA
"460","bat",NA,NA,NA,NA
"461","bat",NA,NA,NA,NA
"462","bat",NA,NA,NA,NA
"463","bat",NA,NA,NA,NA
"464","bat",NA,NA,NA,NA
